-1640008.0 93.89	2012-08-20
['-1640008.0', '93.89', '2012-08-20']
-3942996.0 93.21	2012-08-21
['-3942996.0', '93.21', '2012-08-21']
-6406904.0 92.68	2012-08-22
['-6406904.0', '92.68', '2012-08-22']
-8230661.0 91.98	2012-08-23
['-8230661.0', '91.98', '2012-08-23']
-6284865.0 92.83	2012-08-24
['-6284865.0', '92.83', '2012-08-24']
-8164834.0 92.59	2012-08-27
['-8164834.0', '92.59', '2012-08-27']
-1.00779E7 92.3	2012-08-28
['-1.00779E7', '92.3', '2012-08-28']
-8341967.0 92.43	2012-08-29
['-8341967.0', '92.43', '2012-08-29']
-1.0071543E7 91.76	2012-08-30
['-1.0071543E7', '91.76', '2012-08-30']
-8154278.0 92.6	2012-08-31
['-8154278.0', '92.6', '2012-08-31']
-1.0686539E7 91.68	2012-09-04
['-1.0686539E7', '91.68', '2012-09-04']
-1.1828491E7 91.75	2012-09-05
['-1.1828491E7', '91.75', '2012-09-05']
-8605182.0 93.28	2012-09-06
['-8605182.0', '93.28', '2012-09-06']
-1.1820523E7 92.82	2012-09-07
['-1.1820523E7', '92.82', '2012-09-07']
-1.8176609E7 90.67	2012-09-10
['-1.8176609E7', '90.67', '2012-09-10']
-1.5773188E7 91.17	2012-09-11
['-1.5773188E7', '91.17', '2012-09-11']
-1.8182762E7 90.81	2012-09-12
['-1.8182762E7', '90.81', '2012-09-12']
-1.5448559E7 92.06	2012-09-13
['-1.5448559E7', '92.06', '2012-09-13']
-1.04555E7 93.98	2012-09-14
['-1.04555E7', '93.98', '2012-09-14']
-1.3745755E7 93.78	2012-09-17
['-1.3745755E7', '93.78', '2012-09-17']
-1.6223199E7 93.43	2012-09-18
['-1.6223199E7', '93.43', '2012-09-18']
-1.3499768E7 93.63	2012-09-19
['-1.3499768E7', '93.63', '2012-09-19']
-1.5575297E7 93.58	2012-09-20
['-1.5575297E7', '93.58', '2012-09-20']
-2.5126465E7 93.21	2012-09-21
['-2.5126465E7', '93.21', '2012-09-21']
-2.2089064E7 93.73	2012-09-24
['-2.2089064E7', '93.73', '2012-09-24']
-2.0363512E7 92.83	2012-09-25
['-2.0363512E7', '92.83', '2012-09-25']
-2.2976404E7 92.59	2012-09-26
['-2.2976404E7', '92.59', '2012-09-26']
-2.0894902E7 92.82	2012-09-27
['-2.0894902E7', '92.82', '2012-09-27']
-2.345455E7 92.42	2012-09-28
['-2.345455E7', '92.42', '2012-09-28']
-1.9553689E7 93.29	2012-10-01
['-1.9553689E7', '93.29', '2012-10-01']
-1.5951411E7 93.54	2012-10-02
['-1.5951411E7', '93.54', '2012-10-02']
-1.3341177E7 93.78	2012-10-03
['-1.3341177E7', '93.78', '2012-10-03']
-1.0809718E7 94.43	2012-10-04
['-1.0809718E7', '94.43', '2012-10-04']
-7146190.0 94.96	2012-10-05
['-7146190.0', '94.96', '2012-10-05']
-4538637.0 95.37	2012-10-08
['-4538637.0', '95.37', '2012-10-08']
-7528121.0 93.94	2012-10-09
['-7528121.0', '93.94', '2012-10-09']
-1.008971E7 93.28	2012-10-10
['-1.008971E7', '93.28', '2012-10-10']
-1.2518854E7 92.83	2012-10-11
['-1.2518854E7', '92.83', '2012-10-11']
-1.5084908E7 92.75	2012-10-12
['-1.5084908E7', '92.75', '2012-10-12']
-1.2168643E7 92.79	2012-10-15
['-1.2168643E7', '92.79', '2012-10-15']
-9311138.0 94.23	2012-10-16
['-9311138.0', '94.23', '2012-10-16']
-6119391.0 94.81	2012-10-17
['-6119391.0', '94.81', '2012-10-17']
-8658124.0 94.74	2012-10-18
['-8658124.0', '94.74', '2012-10-18']
-1.2462666E7 92.94	2012-10-19
['-1.2462666E7', '92.94', '2012-10-19']
-1.5594431E7 92.53	2012-10-22
['-1.5594431E7', '92.53', '2012-10-22']
-2.1460386E7 88.73	2012-10-23
['-2.1460386E7', '88.73', '2012-10-23']
-2.4781607E7 88.39	2012-10-24
['-2.4781607E7', '88.39', '2012-10-24']
-2.9395463E7 87.81	2012-10-25
['-2.9395463E7', '87.81', '2012-10-25']
-2.5802927E7 88.03	2012-10-26
['-2.5802927E7', '88.03', '2012-10-26']
-2.91633E7 87.6	2012-10-31
['-2.91633E7', '87.6', '2012-10-31']
-2.5856577E7 89.25	2012-11-01
['-2.5856577E7', '89.25', '2012-11-01']
-2.8909724E7 88.97	2012-11-02
['-2.8909724E7', '88.97', '2012-11-02']
-2.6522005E7 89.6	2012-11-05
['-2.6522005E7', '89.6', '2012-11-05']
-2.3715972E7 90.86	2012-11-06
['-2.3715972E7', '90.86', '2012-11-06']
-2.8309025E7 89.38	2012-11-07
['-2.8309025E7', '89.38', '2012-11-07']
-3.1315047E7 88.55	2012-11-08
['-3.1315047E7', '88.55', '2012-11-08']
-2.8138672E7 88.81	2012-11-09
['-2.8138672E7', '88.81', '2012-11-09']
-2.5918669E7 89.18	2012-11-12
['-2.5918669E7', '89.18', '2012-11-12']
-2.8904569E7 89.08	2012-11-13
['-2.8904569E7', '89.08', '2012-11-13']
-3.1787357E7 87.31	2012-11-14
['-3.1787357E7', '87.31', '2012-11-14']
-2.8495694E7 88.02	2012-11-15
['-2.8495694E7', '88.02', '2012-11-15']
-2.3258673E7 88.5	2012-11-16
['-2.3258673E7', '88.5', '2012-11-16']
-2.056992E7 89.57	2012-11-19
['-2.056992E7', '89.57', '2012-11-19']
-2.2604959E7 89.02	2012-11-20
['-2.2604959E7', '89.02', '2012-11-20']
-2.4616172E7 88.94	2012-11-21
['-2.4616172E7', '88.94', '2012-11-21']
-2.3515071E7 90.28	2012-11-23
['-2.3515071E7', '90.28', '2012-11-23']
-2.5425627E7 90.09	2012-11-26
['-2.5425627E7', '90.09', '2012-11-26']
-2.2921501E7 90.31	2012-11-27
['-2.2921501E7', '90.31', '2012-11-27']
-2.0495326E7 90.93	2012-11-28
['-2.0495326E7', '90.93', '2012-11-28']
-2.2859258E7 90.65	2012-11-29
['-2.2859258E7', '90.65', '2012-11-29']
-2.0573735E7 90.95	2012-11-30
['-2.0573735E7', '90.95', '2012-11-30']
-2.250307E7 90.3	2012-12-03
['-2.250307E7', '90.3', '2012-12-03']
-2.4472777E7 90.12	2012-12-04
['-2.4472777E7', '90.12', '2012-12-04']
-2.1475841E7 90.76	2012-12-05
['-2.1475841E7', '90.76', '2012-12-05']
-1.9448215E7 90.95	2012-12-06
['-1.9448215E7', '90.95', '2012-12-06']
-1.6971844E7 91.51	2012-12-07
['-1.6971844E7', '91.51', '2012-12-07']
-1.4124163E7 91.87	2012-12-10
['-1.4124163E7', '91.87', '2012-12-10']
-1.03023E7 93.68	2012-12-11
['-1.03023E7', '93.68', '2012-12-11']
-1.4367192E7 93.12	2012-12-12
['-1.4367192E7', '93.12', '2012-12-12']
-1.6988573E7 92.5	2012-12-13
['-1.6988573E7', '92.5', '2012-12-13']
-1.9697494E7 92.28	2012-12-14
['-1.9697494E7', '92.28', '2012-12-14']
-1.694387E7 93.03	2012-12-17
['-1.694387E7', '93.03', '2012-12-17']
-1.414388E7 93.85	2012-12-18
['-1.414388E7', '93.85', '2012-12-18']
-1.7398646E7 93.02	2012-12-19
['-1.7398646E7', '93.02', '2012-12-19']
-1.4108506E7 94.13	2012-12-20
